osm_id,lon,lat,building_tag,name,용도분류,판정단계,판정근거
w355933664,126.988654,37.568608,yes,,상업·업무,L4,"내부 POI 2개: 국제커피숖, 오고또포차"
w355933666,126.988946,37.569976,yes,,상업·업무,L4,"내부 POI 2개: 와이비엠어학권, IBK기업은행"
w355933669,126.988654,37.569768,yes,,상업·업무,L4,내부 POI 1개: 스타벅스
w355933672,126.988736,37.569774,yes,,미분류,-,OSM 내 용도 근거 없음
w355933674,126.988832,37.569775,yes,,미분류,-,OSM 내 용도 근거 없음
w355933679,126.988977,37.569789,yes,,미분류,-,OSM 내 용도 근거 없음
w355933684,126.989304,37.569792,yes,,상업·업무,L4,내부 POI 1개: Pascucci
w355933686,126.988712,37.569587,yes,,상업·업무,L4,내부 POI 1개: CU 종로2가점
w355933690,126.988973,37.569560,yes,,미분류,-,OSM 내 용도 근거 없음
w355933692,126.989224,37.569554,yes,,미분류,-,OSM 내 용도 근거 없음
w355933695,126.989298,37.569484,yes,,미분류,-,OSM 내 용도 근거 없음
w355933696,126.989122,37.569400,yes,,미분류,-,OSM 내 용도 근거 없음
w355937386,126.988805,37.569157,yes,,미분류,-,OSM 내 용도 근거 없음
w355937388,126.989331,37.569182,yes,,미분류,-,OSM 내 용도 근거 없음
w355937390,126.988416,37.568886,yes,,상업·업무,L4,내부 POI 1개: Lemong Hotel
w355937391,126.989150,37.568898,yes,나이스파크 종로 세종주차장,기타·부속,L3,명칭 '나이스파크 종로 세종주차장' 중 '주차장'
w355937394,126.989314,37.568743,yes,,상업·업무,L4,내부 POI 1개: 동해어가
w355937396,126.988939,37.568604,yes,,미분류,-,OSM 내 용도 근거 없음
w355937398,126.989091,37.568627,yes,,미분류,-,OSM 내 용도 근거 없음
w355937400,126.989091,37.568563,yes,,상업·업무,L4,내부 POI 1개: 서울게스트하우스
w355937403,126.988923,37.568513,yes,,미분류,-,OSM 내 용도 근거 없음
w355937406,126.988947,37.568421,yes,,상업·업무,L4,내부 POI 1개: 대련집
w355937408,126.989078,37.568372,yes,,미분류,-,OSM 내 용도 근거 없음
w355937413,126.989067,37.568440,yes,,미분류,-,OSM 내 용도 근거 없음
